Age,Jewish males,Jewish females,Muslim Males,Muslim Females
0,69.3  ,65.8  ,19.6  ,18.3  
1,68.8  ,65.2  ,19.2  ,18.0  
2,68.3  ,64.5  ,18.7  ,17.7  
3,67.2  ,63.3  ,18.3  ,17.3  
4,65.8  ,62.5  ,18.3  ,17.4  
5,64.2  ,61.4  ,18.5  ,17.6  
6,63.2  ,60.3  ,18.5  ,17.6  
7,62.4  ,59.2  ,18.2  ,17.6  
8,60.2  ,57.5  ,17.8  ,17.1  
9,58.0  ,55.4  ,17.6  ,16.7  
10,56.2  ,53.4  ,17.6  ,16.7  
11,54.5  ,51.6  ,17.6  ,16.7  
12,53.1  ,50.5  ,17.9  ,16.9  
13,52.5  ,50.1  ,18.4  ,17.6  
14,50.8  ,48.4  ,18.7  ,18.0  
15,48.6  ,46.4  ,18.7  ,17.8  
16,47.9  ,45.6  ,18.5  ,17.5  
17,47.3  ,45.0  ,17.9  ,17.1  
18,46.4  ,44.5  ,17.4  ,16.6  
19,45.9  ,44.1  ,16.8  ,16.0  
20,44.9  ,43.2  ,16.0  ,15.3  
21,43.7  ,42.3  ,15.5  ,15.0  
22,43.3  ,42.0  ,15.0  ,14.3  
23,43.3  ,42.2  ,14.7  ,13.8  
24,43.4  ,42.3  ,14.2  ,13.5  
25,43.3  ,42.4  ,13.7  ,13.1  
26,43.1  ,42.4  ,13.2  ,12.7  
27,43.3  ,42.5  ,12.4  ,12.2  
28,43.4  ,42.7  ,11.7  ,11.4  
29,43.5  ,42.9  ,10.8  ,10.6  
30,43.8  ,43.5  ,10.1  ,10.0  
31,44.2  ,44.1  ,9.8  ,9.5  
32,44.2  ,44.2  ,9.7  ,9.5  
33,44.5  ,44.0  ,9.6  ,9.5  
34,44.0  ,43.7  ,9.4  ,9.3  
35,42.8  ,43.0  ,9.2  ,9.0  
36,42.5  ,42.6  ,9.0  ,8.9  
37,42.2  ,42.0  ,9.2  ,9.1  
38,40.8  ,40.8  ,9.4  ,9.2  
39,40.4  ,40.5  ,9.3  ,9.2  
40,41.7  ,41.8  ,9.3  ,9.2  
41,41.8  ,42.1  ,9.3  ,9.2  
42,40.6  ,40.7  ,9.1  ,8.9  
43,38.9  ,39.1  ,8.9  ,8.7  
44,37.5  ,38.0  ,8.6  ,8.5  
45,37.2  ,37.8  ,8.3  ,8.2  
46,36.6  ,37.1  ,8.0  ,8.0  
47,34.8  ,35.2  ,7.7  ,7.6  
48,33.1  ,33.7  ,7.4  ,7.2  
49,31.3  ,31.8  ,7.0  ,6.9  
50,30.3  ,31.1  ,6.9  ,6.8  
51,30.4  ,31.4  ,6.9  ,6.8  
52,30.2  ,30.7  ,6.7  ,6.7  
53,29.6  ,30.1  ,6.2  ,6.4  
54,28.9  ,30.2  ,5.9  ,6.0  
55,28.9  ,30.6  ,5.5  ,5.6  
56,29.6  ,31.5  ,5.1  ,5.3  
57,30.0  ,32.0  ,4.8  ,4.9  
58,29.5  ,31.7  ,4.4  ,4.5  
59,29.3  ,31.5  ,4.1  ,4.3  
60,29.4  ,31.6  ,3.7  ,4.0  
61,29.5  ,32.1  ,3.5  ,3.8  
62,29.2  ,32.0  ,3.3  ,3.6  
63,29.2  ,32.0  ,3.1  ,3.3  
64,29.6  ,32.4  ,2.9  ,3.1  
65,29.6  ,32.6  ,2.6  ,2.9  
66,29.1  ,32.2  ,2.5  ,2.9  
67,27.7  ,30.7  ,2.0  ,2.3  
68,26.3  ,29.2  ,1.6  ,1.8  
69,26.9  ,30.4  ,1.7  ,2.0  
70,26.2  ,30.0  ,1.9  ,2.1  
71,21.9  ,25.0  ,1.9  ,2.0  
72,17.6  ,19.9  ,1.7  ,2.0  
73,14.8  ,17.0  ,1.6  ,1.8  
74,13.0  ,15.4  ,1.4  ,1.7  
75,12.7  ,15.6  ,1.2  ,1.4  
76,12.9  ,16.2  ,1.1  ,1.2  
77,12.9  ,16.4  ,1.0  ,1.1  
78,13.0  ,16.8  ,0.9  ,1.0  
79,13.0  ,17.0  ,0.8  ,1.0  
80,12.1  ,15.9  ,0.7  ,0.9  
81,10.8  ,14.4  ,0.6  ,0.8  
82,9.6  ,13.1  ,0.5  ,0.7  
83,8.4  ,11.8  ,0.4  ,0.6  
84,7.7  ,11.2  ,0.4  ,0.5  
85,0.0  ,0,0,0
86,0.0  ,0,0,0
87,0.0  ,0,0,0
88,0.0  ,0,0,0
89,0.0  ,0,0,0
90,0,0,0,0
91,0,0,0,0
92,0,0,0,0
93,0,0,0,0
94,0,0,0,0
95,0,0,0,0
96,0,0,0,0
97,0,0,0,0
98,0,0,0,0
99,0,0,0,0
